Employee ID,First Name,Last Name,Gender,State,City,Education Level,Birthdate,Hiredate,Termdate,Department,Job Title,Salary,Performance Rating,Latitude,Longitude
00-67007833,Adam,Davis,Female,Texas,Houston,High School,17/11/1994,15/11/2019,01/02/2024,HR,HR Specialist,63935.49,Satisfactory,29.7604,-95.3698
00-39835682,Linda,Gonzalez,Male,California,Los Angeles,Master,12/01/1996,22/08/2019,28/01/2021,Finance,Financial Analyst,114516.86,Satisfactory,34.0522,-118.2437
00-41147387,Alan,Jensen,Male,Texas,Austin,PhD,17/06/1969,30/04/2022,08/02/2025,Marketing,Marketing Coordinator,49280.97,Needs Improvement,30.2672,-97.7431
00-12930865,Anne,Snyder,Male,North Carolina,Greensboro,PhD,21/04/1987,24/01/2024,30/01/2021,Finance,Accountant,86179.89,Excellent,36.0726,-79.792
00-19716035,Kaitlyn,Bartlett,Female,New York,Rochester,High School,02/01/1996,28/02/2025,05/05/2024,Operations,Operations Analyst,46310.57,Good,43.1566,-77.6088
00-49922298,Danielle,Fletcher,Female,North Carolina,Charlotte,Bachelor,26/05/1969,06/06/2025,,Finance,Accounts Payable Specialist,106381.45,Satisfactory,35.2271,-80.8431
00-27345982,Brittany,White,Male,North Carolina,Greensboro,Bachelor,06/07/1965,31/07/2019,26/11/2023,HR,HR Specialist,43010.2,Satisfactory,36.0726,-79.792
00-65086733,Zachary,Noble,Female,New York,Buffalo,High School,26/03/2003,24/10/2020,17/11/2020,IT,Network Analyst,103875.62,Good,42.8864,-78.8784
00-92042133,Roy,Taylor,Female,New York,Buffalo,Master,26/02/1992,03/07/2018,17/09/2022,Marketing,Content Strategist,72714.51,Satisfactory,42.8864,-78.8784
00-87367352,Jim,Christensen,Female,North Carolina,Greensboro,Bachelor,30/07/1965,03/10/2021,22/09/2023,HR,Recruiter,87763.59,Good,36.0726,-79.792
00-39570811,James,Tran,Male,North Carolina,Charlotte,Master,24/04/1982,17/08/2024,06/05/2024,HR,HR Specialist,112405.59,Excellent,35.2271,-80.8431
00-85866303,Tina,Walker,Female,California,San Diego,PhD,27/08/1974,02/10/2016,06/04/2025,Operations,Logistics Coordinator,102831.24,Needs Improvement,32.7157,-117.1611
00-96943236,Alvin,Stone,Male,Texas,Austin,Bachelor,18/07/1965,20/08/2016,19/06/2024,HR,HR Specialist,47040.64,Excellent,30.2672,-97.7431
00-99847740,William,Duarte,Female,North Carolina,Raleigh,Master,08/03/1984,25/06/2018,06/08/2025,Customer Service,Customer Support Specialist,118004.78,Needs Improvement,35.7796,-78.6382
00-47822933,Kathleen,Blake,Male,New York,Rochester,Bachelor,24/03/1979,07/08/2020,07/01/2021,Customer Service,Help Desk Technician,112834.47,Needs Improvement,43.1566,-77.6088
00-92995653,Timothy,Baker,Male,Texas,Austin,Master,18/07/1989,21/08/2019,,IT,Software Engineer,44701.57,Satisfactory,30.2672,-97.7431
00-57229234,Lacey,Evans,Female,North Carolina,Raleigh,Master,14/04/2002,21/07/2023,18/02/2024,Finance,Financial Analyst,96671.24,Needs Improvement,35.7796,-78.6382
00-32702231,Ryan,Ashley,Female,Texas,Houston,PhD,25/02/1985,17/06/2017,30/03/2022,Marketing,Content Strategist,92980.75,Needs Improvement,29.7604,-95.3698
00-24124318,Jacob,Sanders,Female,Texas,Dallas,Bachelor,14/04/1971,18/05/2023,11/05/2022,HR,Training Coordinator,52997.2,Needs Improvement,32.7767,-96.797
00-70920136,Michael,Powell,Female,Texas,Dallas,Master,24/12/1971,06/09/2023,30/05/2022,HR,Recruiter,98801.22,Good,32.7767,-96.797
00-74117182,Bobby,Thomas,Male,New York,Rochester,Bachelor,09/03/1974,10/06/2022,,IT,System Administrator,83105.86,Good,43.1566,-77.6088
00-66020423,Frances,Mckay,Female,Texas,Dallas,Bachelor,30/08/1986,27/07/2024,10/01/2023,IT,Software Engineer,105672.31,Good,32.7767,-96.797
00-59802330,Kurt,Smith,Male,North Carolina,Raleigh,PhD,22/12/1970,19/12/2016,24/04/2025,IT,System Administrator,57411.18,Excellent,35.7796,-78.6382
00-45386764,James,Kennedy,Male,New York,New York City,High School,25/03/1972,11/10/2020,,Marketing,Content Strategist,44041.26,Excellent,40.7128,-74.006
00-23296928,Grace,Sullivan,Male,North Carolina,Raleigh,High School,14/01/1999,10/05/2017,19/03/2025,Customer Service,Customer Support Specialist,67173.22,Satisfactory,35.7796,-78.6382
00-62479988,Jennifer,Schultz,Male,California,San Francisco,High School,08/03/1987,24/01/2022,19/12/2023,Marketing,Marketing Coordinator,83596.77,Excellent,37.7749,-122.4194
00-85103672,Sabrina,Wagner,Male,Texas,Dallas,PhD,31/01/1973,19/06/2021,11/04/2022,Operations,Operations Analyst,97080.85,Excellent,32.7767,-96.797
00-69473984,Jim,Tucker,Female,California,Los Angeles,Master,18/10/1971,06/06/2020,17/12/2021,IT,System Administrator,49299.84,Needs Improvement,34.0522,-118.2437
00-66108515,Eric,Sloan,Male,New York,New York City,PhD,14/06/2000,01/08/2019,07/03/2023,Finance,Accountant,77899.14,Needs Improvement,40.7128,-74.006
00-57893350,Mary,Waller,Female,North Carolina,Greensboro,Master,29/10/1983,30/06/2021,26/12/2022,Customer Service,Customer Support Specialist,75591.07,Needs Improvement,36.0726,-79.792
00-85265063,Felicia,West,Male,California,San Francisco,High School,04/12/1970,02/05/2021,13/02/2022,Operations,Operations Analyst,94315.67,Needs Improvement,37.7749,-122.4194
00-56421620,Glenda,Villegas,Male,Texas,Houston,Master,16/04/1978,12/07/2022,,HR,Recruiter,104106.54,Needs Improvement,29.7604,-95.3698
00-35453790,Eric,Williams,Female,California,San Diego,Bachelor,28/12/1973,14/09/2022,,Operations,Inventory Specialist,87084.42,Satisfactory,32.7157,-117.1611
00-33766693,Cynthia,Zimmerman,Female,New York,New York City,Bachelor,21/10/2001,19/04/2022,04/06/2023,IT,System Administrator,113353.34,Good,40.7128,-74.006
00-15771302,Brandi,Robinson,Female,Texas,Houston,Bachelor,03/02/1990,20/09/2020,09/09/2022,IT,Network Analyst,100161.13,Good,29.7604,-95.3698
00-55643973,Gary,Jones,Male,California,San Diego,Bachelor,05/09/1964,30/03/2023,20/12/2024,IT,Network Analyst,87126.75,Good,32.7157,-117.1611
00-51303719,Christy,Nelson,Male,North Carolina,Raleigh,PhD,16/03/2003,15/07/2022,22/05/2022,IT,Software Engineer,67767.71,Satisfactory,35.7796,-78.6382
00-26257987,James,Vasquez,Male,North Carolina,Greensboro,High School,04/03/1987,15/07/2016,,IT,Software Engineer,101835.62,Satisfactory,36.0726,-79.792
00-81274235,Elizabeth,Jones,Female,Texas,Austin,Bachelor,06/06/1970,18/04/2022,,IT,Software Engineer,62185.57,Satisfactory,30.2672,-97.7431
00-73782955,Benjamin,Romero,Female,Texas,Dallas,Bachelor,03/02/1971,07/05/2022,16/04/2023,Finance,Financial Analyst,109586.72,Satisfactory,32.7767,-96.797
00-19863365,Leslie,Kane,Male,California,San Francisco,Master,08/06/1994,30/07/2017,,Operations,Inventory Specialist,96341.66,Excellent,37.7749,-122.4194
00-26527537,Courtney,Martinez,Female,North Carolina,Greensboro,PhD,16/01/1975,18/06/2024,21/03/2023,HR,Recruiter,47362.82,Needs Improvement,36.0726,-79.792
00-88745785,Scott,Hayden,Female,North Carolina,Greensboro,High School,27/06/1973,15/04/2021,02/05/2025,HR,HR Specialist,83342.15,Satisfactory,36.0726,-79.792
00-69282678,Andrew,Roberts,Female,North Carolina,Greensboro,Bachelor,08/07/1973,09/12/2021,02/02/2024,Operations,Operations Analyst,44162.88,Needs Improvement,36.0726,-79.792
00-73230635,Andrew,Hughes,Female,California,San Francisco,PhD,13/08/1983,05/07/2024,07/12/2020,Customer Service,Help Desk Technician,108103.21,Satisfactory,37.7749,-122.4194
00-18891044,Monica,Bowers,Female,North Carolina,Greensboro,High School,19/02/1969,20/08/2022,03/06/2022,Customer Service,Help Desk Technician,92900.76,Excellent,36.0726,-79.792
00-10221327,Jennifer,Black,Female,New York,New York City,PhD,16/09/1988,25/02/2021,18/11/2021,Marketing,Marketing Coordinator,74133.94,Satisfactory,40.7128,-74.006
00-21826066,Shirley,Smith,Male,North Carolina,Raleigh,Master,27/06/1973,11/06/2021,,Marketing,Marketing Coordinator,113183.22,Good,35.7796,-78.6382
00-68817960,Randy,Moore,Male,California,San Francisco,Bachelor,25/02/1975,25/02/2020,30/11/2022,Marketing,Content Strategist,90012.44,Needs Improvement,37.7749,-122.4194
00-70251535,Brenda,Williams,Male,New York,New York City,Bachelor,11/01/1970,06/08/2016,30/01/2021,Marketing,SEO Specialist,106650.81,Satisfactory,40.7128,-74.006
00-98699405,John,Wallace,Male,Texas,Houston,PhD,18/07/1973,17/12/2020,,IT,Network Analyst,41366.17,Needs Improvement,29.7604,-95.3698
00-22796308,James,Townsend,Male,North Carolina,Raleigh,PhD,23/05/1990,08/02/2017,18/08/2023,Customer Service,Help Desk Technician,65756.35,Good,35.7796,-78.6382
00-97724787,Mark,Garcia,Male,North Carolina,Charlotte,Bachelor,29/03/1973,18/07/2017,14/08/2024,Customer Service,Customer Support Specialist,99507.28,Satisfactory,35.2271,-80.8431
00-91005194,Tammy,Parker,Female,North Carolina,Greensboro,High School,30/03/1996,10/11/2016,,Customer Service,Help Desk Technician,63854.1,Good,36.0726,-79.792
00-11132169,Heather,Johnson,Male,California,San Diego,PhD,18/11/1990,09/10/2020,,Marketing,Content Strategist,76825.17,Good,32.7157,-117.1611
00-16008413,Kenneth,Jackson,Male,California,San Diego,PhD,21/06/1969,30/03/2019,,Marketing,Content Strategist,45136.8,Satisfactory,32.7157,-117.1611
00-47775007,Amanda,Morales,Male,North Carolina,Greensboro,Bachelor,21/12/1966,11/07/2017,23/05/2023,Operations,Operations Analyst,56204.6,Satisfactory,36.0726,-79.792
00-25525862,Carl,Archer,Female,North Carolina,Raleigh,Master,07/03/1993,24/05/2025,17/03/2024,Customer Service,Customer Support Specialist,53878.19,Needs Improvement,35.7796,-78.6382
00-49844247,John,Hernandez,Male,North Carolina,Raleigh,PhD,01/12/1983,20/07/2025,,Finance,Accounts Payable Specialist,75732.71,Excellent,35.7796,-78.6382
00-43268378,Angela,Vaughan,Male,California,San Diego,PhD,02/07/1986,19/10/2017,,Finance,Accounts Payable Specialist,77721.04,Needs Improvement,32.7157,-117.1611
00-31460493,Nathaniel,Parks,Male,North Carolina,Greensboro,Master,25/04/1987,05/07/2022,,IT,Network Analyst,82027.39,Needs Improvement,36.0726,-79.792
00-65982788,Diana,Martin,Female,New York,New York City,Master,25/11/1979,12/06/2024,,Finance,Financial Analyst,71481.16,Needs Improvement,40.7128,-74.006
00-20867581,Martin,Black,Male,Texas,Austin,High School,22/01/1987,06/04/2016,,Marketing,Marketing Coordinator,98756.41,Satisfactory,30.2672,-97.7431
00-71849205,Tiffany,Weeks,Male,California,Los Angeles,Bachelor,12/01/1980,13/05/2025,17/06/2023,Marketing,SEO Specialist,48464.85,Excellent,34.0522,-118.2437
00-31596559,Keith,Davis,Male,North Carolina,Raleigh,Master,27/02/1997,12/04/2019,01/06/2024,IT,System Administrator,87843.12,Good,35.7796,-78.6382
00-76008350,Jennifer,Pope,Female,New York,Buffalo,High School,05/05/1970,03/10/2018,,Finance,Accounts Payable Specialist,64497.12,Excellent,42.8864,-78.8784
00-69341908,Sheila,Rodriguez,Female,New York,New York City,PhD,20/01/1972,24/02/2025,21/04/2024,Marketing,Content Strategist,105110.75,Needs Improvement,40.7128,-74.006
00-54553260,James,Kelley,Female,North Carolina,Greensboro,Master,30/09/1985,24/12/2019,28/07/2022,Finance,Accountant,111379.6,Needs Improvement,36.0726,-79.792
00-65178647,Brittany,Holmes,Male,New York,New York City,Bachelor,26/03/1999,03/11/2021,14/05/2023,IT,Software Engineer,65874.68,Good,40.7128,-74.006
00-49337862,Krystal,Jones,Male,North Carolina,Raleigh,Master,28/01/1985,27/12/2021,17/05/2024,Customer Service,Help Desk Technician,58115.24,Satisfactory,35.7796,-78.6382
00-10699790,Kimberly,Brown,Female,California,Los Angeles,Master,12/04/1968,30/03/2020,,Operations,Logistics Coordinator,94972.1,Good,34.0522,-118.2437
00-78414970,Brenda,Moore,Female,North Carolina,Greensboro,Bachelor,08/11/1994,31/05/2024,,Operations,Inventory Specialist,114413.58,Good,36.0726,-79.792
00-90854828,Laura,Santos,Female,California,Los Angeles,Bachelor,22/08/1966,02/06/2021,,HR,Training Coordinator,48777.94,Satisfactory,34.0522,-118.2437
00-18086212,Susan,Byrd,Female,New York,New York City,High School,10/05/1977,11/12/2018,02/02/2021,Customer Service,Help Desk Technician,104890.75,Needs Improvement,40.7128,-74.006
00-89773638,Lisa,Wheeler,Male,New York,Buffalo,PhD,11/07/1978,18/05/2024,24/10/2021,Finance,Financial Analyst,92000.58,Excellent,42.8864,-78.8784
00-18807045,Paul,Rice,Female,Texas,Houston,Master,20/08/1993,22/01/2019,02/08/2021,Marketing,Marketing Coordinator,115949.58,Excellent,29.7604,-95.3698
00-31155700,Mark,Mccarthy,Male,Texas,Austin,High School,01/10/1966,27/04/2020,10/11/2020,Marketing,SEO Specialist,73473.11,Needs Improvement,30.2672,-97.7431
00-24761119,Jessica,Taylor,Female,New York,New York City,Bachelor,07/09/1972,17/07/2020,29/10/2024,HR,Recruiter,118445.75,Excellent,40.7128,-74.006
00-22185380,Andrew,Ortiz,Female,New York,Rochester,Bachelor,11/05/1975,21/09/2017,26/08/2021,IT,Network Analyst,46820.7,Excellent,43.1566,-77.6088
00-94700291,Scott,Bright,Female,North Carolina,Charlotte,High School,09/06/1982,06/04/2020,30/06/2023,Operations,Logistics Coordinator,83825.15,Needs Improvement,35.2271,-80.8431
00-95623943,Laurie,Berry,Female,North Carolina,Charlotte,High School,13/11/1989,16/10/2016,11/11/2022,Operations,Inventory Specialist,67782.19,Good,35.2271,-80.8431
00-47956568,Trevor,Kim,Male,California,San Francisco,High School,20/08/1966,15/07/2017,,Marketing,Marketing Coordinator,60743.72,Excellent,37.7749,-122.4194
00-67550022,William,Larsen,Female,Texas,Houston,Bachelor,29/05/1982,30/09/2021,30/08/2022,Operations,Inventory Specialist,89163.56,Good,29.7604,-95.3698
00-70231475,Timothy,Alexander,Male,Texas,Dallas,High School,21/07/1977,15/05/2018,,Marketing,SEO Specialist,78099.68,Needs Improvement,32.7767,-96.797
00-13791402,Jennifer,Morales,Male,California,San Diego,High School,22/08/1995,09/06/2020,,Customer Service,Customer Support Specialist,42301.32,Satisfactory,32.7157,-117.1611
00-20778223,Travis,Oconnor,Male,North Carolina,Charlotte,Bachelor,25/10/1988,26/01/2025,20/07/2024,HR,HR Specialist,115325.56,Excellent,35.2271,-80.8431
00-67560930,Ashley,Murphy,Male,Texas,Dallas,High School,27/09/1994,15/12/2024,18/10/2023,Customer Service,Customer Support Specialist,103945.65,Needs Improvement,32.7767,-96.797
00-58629230,Larry,Miller,Male,Texas,Houston,High School,08/11/1978,04/10/2020,20/12/2024,Marketing,Content Strategist,117361.79,Good,29.7604,-95.3698
00-75946482,David,Young,Male,North Carolina,Greensboro,PhD,09/12/1987,12/07/2016,01/11/2021,IT,System Administrator,99397.64,Needs Improvement,36.0726,-79.792
00-12901898,Allison,Gray,Male,New York,Buffalo,PhD,06/01/1968,06/02/2017,29/08/2020,Customer Service,Help Desk Technician,46491.23,Excellent,42.8864,-78.8784
00-55275512,Jacob,Barnes,Male,North Carolina,Raleigh,PhD,11/02/1996,26/04/2019,09/12/2021,IT,Network Analyst,107697.33,Satisfactory,35.7796,-78.6382
00-83094643,David,Miller,Male,California,San Diego,Master,24/06/1981,23/12/2015,,Customer Service,Help Desk Technician,75792.92,Needs Improvement,32.7157,-117.1611
00-50728267,Angela,Williams,Female,North Carolina,Raleigh,Bachelor,13/11/1972,21/10/2023,17/06/2025,Customer Service,Help Desk Technician,92876.79,Excellent,35.7796,-78.6382
00-57357627,Jennifer,Schwartz,Male,California,San Francisco,Master,01/11/1974,20/04/2018,15/08/2021,Marketing,Content Strategist,98924.42,Excellent,37.7749,-122.4194
00-35597676,Laura,Alexander,Female,New York,Rochester,Bachelor,28/07/1987,18/02/2018,05/01/2021,Customer Service,Customer Support Specialist,116983.55,Satisfactory,43.1566,-77.6088
00-84924334,Sheri,Waters,Female,Texas,Houston,PhD,05/04/1990,03/05/2021,23/09/2024,Marketing,Marketing Coordinator,109217.06,Good,29.7604,-95.3698
00-47130932,Eric,Roberts,Female,North Carolina,Charlotte,PhD,30/03/1972,19/08/2019,16/06/2023,IT,Network Analyst,58012.66,Satisfactory,35.2271,-80.8431
00-37045708,James,Norris,Male,California,San Diego,Bachelor,27/09/1980,09/03/2016,22/04/2022,Finance,Accounts Payable Specialist,118883.41,Needs Improvement,32.7157,-117.1611
00-70577141,Eric,Harris,Female,Texas,Houston,Bachelor,29/12/1977,05/09/2024,10/03/2025,Marketing,SEO Specialist,50027.91,Satisfactory,29.7604,-95.3698
00-21016486,Stacey,Fowler,Female,Texas,Austin,Bachelor,20/08/2000,02/05/2019,,Operations,Logistics Coordinator,106037.14,Satisfactory,30.2672,-97.7431
00-50350237,Andrew,Garza,Female,North Carolina,Charlotte,PhD,19/03/1970,14/01/2019,02/06/2022,Customer Service,Customer Support Specialist,102033.17,Excellent,35.2271,-80.8431
00-48047248,Danielle,Burns,Female,Texas,Dallas,High School,01/05/1985,22/02/2017,,Marketing,Content Strategist,76860.72,Good,32.7767,-96.797
00-34194212,Heather,Campbell,Male,California,San Francisco,PhD,16/09/2002,18/03/2020,22/09/2023,IT,Network Analyst,62453.64,Satisfactory,37.7749,-122.4194
00-78355683,Dylan,Sanchez,Male,New York,Rochester,Master,02/05/1975,15/01/2018,08/08/2025,Finance,Financial Analyst,102980.69,Satisfactory,43.1566,-77.6088
00-51307122,Justin,Hernandez,Male,New York,Rochester,Master,07/03/1984,10/02/2019,27/05/2023,IT,System Administrator,60658.99,Satisfactory,43.1566,-77.6088
00-63517318,Spencer,Jordan,Male,California,Los Angeles,High School,07/04/1971,01/01/2016,27/10/2024,Marketing,SEO Specialist,70381.55,Excellent,34.0522,-118.2437
00-63353940,Jim,Dunn,Male,Texas,Dallas,PhD,09/07/1973,12/11/2022,,IT,Software Engineer,94446.1,Good,32.7767,-96.797
00-57686374,Lori,Hill,Male,North Carolina,Raleigh,PhD,09/09/2001,28/08/2016,24/05/2023,Finance,Financial Analyst,71842.88,Good,35.7796,-78.6382
00-41493721,Jacob,Burns,Male,New York,Buffalo,PhD,31/10/1994,21/04/2023,,Customer Service,Customer Support Specialist,77680.22,Good,42.8864,-78.8784
00-46985979,Robert,Becker,Female,New York,New York City,PhD,31/10/1986,26/10/2024,,Finance,Accounts Payable Specialist,67079.87,Needs Improvement,40.7128,-74.006
00-48055636,Linda,Thompson,Female,Texas,Houston,Bachelor,21/03/1970,30/12/2019,02/09/2020,Finance,Accounts Payable Specialist,47651.16,Good,29.7604,-95.3698
00-86400651,Jennifer,Montoya,Female,California,San Francisco,Bachelor,13/06/1991,20/08/2017,05/06/2023,Marketing,Marketing Coordinator,70038.87,Good,37.7749,-122.4194
00-15931986,Robert,Hoffman,Male,North Carolina,Greensboro,High School,28/01/1993,14/09/2022,,Marketing,SEO Specialist,105008.54,Excellent,36.0726,-79.792
00-74038632,Elizabeth,Wilkins,Male,Texas,Dallas,Master,02/02/1977,19/05/2020,27/11/2023,HR,Training Coordinator,67811.69,Good,32.7767,-96.797
00-46580339,Stanley,Tran,Male,New York,Rochester,PhD,02/06/1995,29/04/2019,19/10/2023,Marketing,Content Strategist,42754.57,Needs Improvement,43.1566,-77.6088
00-53886293,Samuel,Li,Female,North Carolina,Raleigh,PhD,02/10/1978,06/06/2017,20/12/2023,Marketing,Content Strategist,92429.09,Needs Improvement,35.7796,-78.6382
00-92163734,Carla,Mills,Male,New York,New York City,PhD,26/11/1993,03/04/2024,10/06/2024,Marketing,Marketing Coordinator,114057.23,Satisfactory,40.7128,-74.006
00-57604345,Daniel,Andersen,Female,Texas,Houston,Master,05/06/1999,07/10/2019,,IT,Software Engineer,101109.97,Satisfactory,29.7604,-95.3698
00-73284189,Aaron,Moran,Female,Texas,Dallas,Bachelor,25/05/1991,08/12/2020,29/05/2024,HR,HR Specialist,97085.08,Good,32.7767,-96.797
00-34052626,Crystal,Woods,Female,New York,New York City,Bachelor,27/06/1989,09/12/2022,26/08/2023,Operations,Operations Analyst,43118.75,Needs Improvement,40.7128,-74.006
00-67768808,Gregg,Andrews,Female,New York,New York City,Master,03/12/2000,14/09/2015,06/09/2020,IT,System Administrator,117976.77,Good,40.7128,-74.006
00-90022379,Ashley,Smith,Female,North Carolina,Raleigh,Bachelor,08/02/1996,12/12/2022,20/06/2022,Customer Service,Help Desk Technician,57653.46,Excellent,35.7796,-78.6382
00-94004738,Joanna,King,Female,New York,Rochester,Master,23/06/1979,03/01/2016,,Customer Service,Customer Support Specialist,77162.49,Excellent,43.1566,-77.6088
00-94385903,Andrew,Reeves,Male,North Carolina,Greensboro,Master,03/03/1981,19/06/2025,,Customer Service,Customer Support Specialist,64421.09,Needs Improvement,36.0726,-79.792
00-85893990,Darryl,Thomas,Male,New York,Buffalo,Master,28/05/1989,27/12/2023,31/05/2021,IT,System Administrator,75647.91,Excellent,42.8864,-78.8784
00-29256552,Juan,Weiss,Male,Texas,Austin,Bachelor,29/12/1964,11/01/2023,07/07/2021,Operations,Operations Analyst,76941.47,Satisfactory,30.2672,-97.7431
00-96936876,Robert,Johnson,Male,New York,Buffalo,High School,06/01/1990,23/04/2021,13/07/2021,HR,HR Specialist,66295.02,Excellent,42.8864,-78.8784
00-54966913,Victor,Smith,Male,New York,New York City,PhD,28/06/1970,12/02/2017,22/10/2022,IT,Network Analyst,43989.35,Needs Improvement,40.7128,-74.006
00-64643267,Anthony,Perez,Male,New York,New York City,Master,06/01/2003,11/07/2024,,Operations,Operations Analyst,99512.17,Satisfactory,40.7128,-74.006
00-46340164,Ashley,Hebert,Male,California,San Francisco,PhD,09/11/1973,16/07/2016,12/07/2024,Finance,Accountant,72283.97,Needs Improvement,37.7749,-122.4194
00-47175574,Frederick,White,Male,California,San Francisco,Master,28/03/1971,30/03/2020,28/02/2024,Operations,Inventory Specialist,75794.95,Excellent,37.7749,-122.4194
00-97726659,Derrick,Pugh,Female,California,Los Angeles,Master,26/10/1993,09/10/2022,25/08/2024,Operations,Operations Analyst,117033.62,Needs Improvement,34.0522,-118.2437
00-11968299,Chris,Stevens,Female,New York,Rochester,Bachelor,09/09/1970,16/06/2022,,IT,Software Engineer,50793.95,Needs Improvement,43.1566,-77.6088
00-59140267,John,Wells,Female,North Carolina,Raleigh,Bachelor,20/09/1970,02/08/2021,03/10/2020,IT,System Administrator,42111.03,Needs Improvement,35.7796,-78.6382
00-99997865,Sabrina,Black,Male,California,San Diego,PhD,24/01/1990,21/06/2019,14/12/2023,HR,Recruiter,119805.04,Needs Improvement,32.7157,-117.1611
00-10837104,Harold,Jenkins,Female,New York,Rochester,Master,07/08/1967,26/11/2020,16/10/2021,HR,HR Specialist,58676.45,Needs Improvement,43.1566,-77.6088
00-60055550,Robert,Serrano,Male,Texas,Austin,PhD,15/08/1972,01/07/2022,15/10/2022,Operations,Operations Analyst,66259.06,Good,30.2672,-97.7431
00-38963821,William,Allen,Female,North Carolina,Charlotte,Bachelor,11/03/1966,09/11/2018,22/07/2024,Finance,Accounts Payable Specialist,108984.27,Satisfactory,35.2271,-80.8431
00-77500554,Chad,Ellis,Female,North Carolina,Greensboro,High School,26/02/1982,14/07/2025,23/09/2023,Finance,Accounts Payable Specialist,77406.81,Needs Improvement,36.0726,-79.792
00-70740719,Lisa,Meyer,Male,North Carolina,Charlotte,Bachelor,22/01/1994,10/09/2017,,Marketing,Content Strategist,115267.37,Satisfactory,35.2271,-80.8431
00-54452893,Anna,Brady,Female,New York,New York City,PhD,06/01/1967,13/07/2021,19/06/2021,Marketing,SEO Specialist,96974.57,Excellent,40.7128,-74.006
00-49756671,Joseph,Brown,Male,New York,Rochester,Bachelor,30/05/2001,05/12/2019,26/12/2024,HR,Training Coordinator,96164.0,Excellent,43.1566,-77.6088
00-22693695,Elizabeth,Moore,Male,New York,Rochester,Bachelor,10/04/1998,15/05/2018,04/06/2024,Finance,Accountant,99801.18,Good,43.1566,-77.6088
00-11096881,Erik,Mills,Female,New York,Rochester,Bachelor,18/09/1998,29/07/2025,10/01/2021,Marketing,Marketing Coordinator,95406.44,Excellent,43.1566,-77.6088
